osmid,speed_kmh
4677317,24.0
4677323,30.0
4677325,30.0
4677326,24.0
4677359,50.0
4677416,50.0
4677442,50.0
4677450,50.0
4677458,50.0
4677463,50.0
5921435,50.0
5921436,20.0
5921439,40.0
5921440,40.0
5921443,32.0
5921444,40.0
5921445,30.0
8104263,80.0
8104280,50.0
8104345,30.0
8104346,30.0
8104347,30.0
8104350,10.0
8104351,10.0
8104352,10.0
8104353,10.0
8104354,10.0
8104355,10.0
8104356,10.0
8104357,30.0
8104358,30.0
8104359,10.0
8104360,30.0
8104361,30.0
8104362,10.0
8104363,10.0
8104364,10.0
8104365,30.0
8104366,30.0
8104367,30.0
8104368,45.0
8104425,30.0
8104514,50.0
8104522,50.0
8104525,40.0
8104538,40.0
8104558,50.0
8104561,30.0
8104563,30.0
8104569,30.0
8104570,30.0
8104573,30.0
8104575,30.0
8104576,30.0
8104577,30.0
8104578,30.0
8104579,30.0
8104580,30.0
8104582,30.0
8104583,30.0
8104585,30.0
8104586,30.0
8104587,30.0
8104588,30.0
8109791,50.0
8110238,50.0
8111456,50.0
8111457,40.0
8111459,25.0
8111460,30.0
8111461,30.0
8111462,30.0
8111463,30.0
8111464,30.0
8111465,30.0
8111466,30.0
8111467,30.0
8111468,40.0
8111469,30.0
8111470,30.0
8111471,30.0
8111862,30.0
8111863,30.0
8111864,25.0
8111865,30.0
8111866,30.0
8111867,30.0
8111868,30.0
8111869,30.0
8111870,30.0
8111871,30.0
8111872,30.0
9713688,50.0
9713691,50.0
9717648,50.0
21897238,30.0
21897313,30.0
21897357,25.0
22051882,45.0
22051893,50.0
22337878,50.0
22337879,30.0
22337880,50.0
22337881,50.0
22337882,50.0
22337883,30.0
22337885,25.0
22337886,40.0
22337887,30.0
22337890,50.0
22337891,40.0
22337893,30.0
23410548,50.0
23410549,50.0
23410550,50.0
23410552,50.0
23410553,50.0
23411027,50.0
23411035,30.0
23411040,30.0
23411067,50.0
23411075,50.0
23411081,80.0
23411083,80.0
23411084,80.0
23411086,80.0
23952242,50.0
23952279,80.0
24254866,50.0
24255009,40.0
24255014,45.0
24255047,50.0
24255879,30.0
24256128,30.0
24256173,45.0
24256191,45.0
24257092,40.0
24257095,50.0
24257104,50.0
24257108,40.0
24257115,30.0
24257116,50.0
24278613,40.0
24278661,30.0
24278704,40.0
24278737,50.0
24278823,50.0
24278839,50.0
24278946,50.0
24278972,50.0
24282876,50.0
24282880,50.0
24282896,45.0
24282899,45.0
24282909,45.0
24282932,30.0
24282936,30.0
24282949,45.0
24282984,30.0
24282999,45.0
24283103,45.0
24283120,50.0
24283140,25.0
24283144,45.0
24283259,30.0
24283261,45.0
24283273,20.0
24283283,45.0
24283297,30.0
24283304,24.0
24284770,45.0
24284799,45.0
24284807,30.0
24284893,30.0
24284894,40.0
24284902,50.0
24284905,40.0
24284923,45.0
24285172,30.0
24285329,50.0
24287795,50.0
24288154,45.0
24291581,30.0
24291596,25.0
24291615,30.0
24291622,30.0
24291626,30.0
24291651,30.0
24291655,30.0
24291660,30.0
24291672,30.0
24291689,30.0
24291773,30.0
24291806,30.0
24291817,30.0
24299161,30.0
24299162,30.0
24299169,30.0
24299171,30.0
24299176,30.0
24330138,20.0
24348379,30.0
24348397,30.0
24348399,30.0
24348407,30.0
24348413,30.0
24348596,50.0
24348735,40.0
24356585,40.0
24400705,30.0
24400706,30.0
24400711,30.0
24400716,30.0
24400723,30.0
24492822,30.0
24492876,30.0
24492888,30.0
24492891,30.0
24492965,30.0
24492967,30.0
24493083,30.0
24493092,30.0
24493094,30.0
24493099,30.0
24493107,30.0
24493114,30.0
24493181,30.0
24493183,30.0
24493184,30.0
24493185,30.0
24493191,30.0
24493410,30.0
24493412,30.0
24493413,30.0
24493415,30.0
24493416,30.0
24493417,30.0
24494642,30.0
24534058,30.0
24534061,30.0
24534063,25.0
24534069,30.0
24554418,30.0
24554420,80.0
24554421,80.0
24554425,30.0
24554426,30.0
24727374,25.0
24727453,30.0
24727458,30.0
24727475,30.0
24727480,30.0
24727490,30.0
24727493,30.0
24727525,45.0
24728136,40.0
24728852,30.0
24728995,30.0
24728998,30.0
24729000,30.0
24729002,30.0
24729005,30.0
24729012,30.0
24729017,30.0
24729031,30.0
24729035,30.0
24729045,30.0
24729046,30.0
24729049,30.0
24729053,30.0
24729054,30.0
24729080,30.0
24729082,30.0
24729091,30.0
24729134,30.0
24729180,30.0
24729185,30.0
24729186,30.0
24729190,30.0
24729251,30.0
24814296,45.0
24889765,30.0
24889839,30.0
24889855,30.0
24889883,30.0
24889898,30.0
24889924,30.0
24889960,30.0
24889969,30.0
24890010,30.0
24890502,45.0
24890539,25.0
24890557,30.0
24890568,30.0
24890582,50.0
24890942,45.0
24890960,40.0
24891067,45.0
24891131,40.0
24891157,40.0
24891246,40.0
24891376,50.0
24894893,40.0
24895723,40.0
24896133,45.0
24963815,30.0
24963819,40.0
24963832,24.0
24963834,40.0
24963851,40.0
24963858,24.0
24963904,40.0
24963919,30.0
24963941,25.0
24963960,30.0
24963964,25.0
24975110,60.0
24993654,30.0
24993658,50.0
24993660,80.0
24993662,50.0
24993664,80.0
24993665,80.0
24993666,80.0
24994484,50.0
24994486,40.0
24994487,50.0
24994775,10.0
24994776,10.0
24995309,80.0
24995311,80.0
24995312,80.0
24995314,80.0
24995315,80.0
24995316,80.0
24996051,40.0
24996285,45.0
24996286,45.0
25007149,50.0
25007155,50.0
25007192,50.0
25007386,45.0
25007444,45.0
25007642,30.0
25007880,50.0
25008017,30.0
25008241,30.0
25008892,40.0
25008962,50.0
25009236,50.0
25009248,50.0
25009518,50.0
25009697,80.0
25010020,25.0
25010195,30.0
25010410,40.0
25010568,30.0
